,source_id_lattes,target_id_lattes,academic_degree,start_year,conclusion_year,course,institution,thesis,major_area,area
1297049,7055585758385719,6620619427214459,mestrado,2008.0,2010,serviço social,universidade federal da paraíba,residência multiprofissional em saúde da família e comunidade um olhar sobre a multiprofissionalidade na atenção básica,ciencias da saude,
587202,7098966466714230,10530199,mestrado,,1994,lingüística,universidade de brasilia ppgl,as dimensões interculturais e cognitivas no processo de ensino do português para estrangeiros,linguistica letras e artes,
896789,6968054878935534,2777374743740592,mestrado,,2016,mestrado em engenharia civil,universidade de pernambuco,segurança viária identificação e análise dos pontos negros da cidade do recife,engenharias,
1130998,5092216089431468,4647548311692390,mestrado,2002.0,2004,medicina veterinária,universidade federal do rio grande do sul,influëncia do número de espermatozóides na dose e do refluxo pós inseminaçäo sobre o desempenho reprodutivo de fëmeas suínas inseminadas intrauterinamente,ciencias agrarias,medicina veterinária
445652,10317025,5015504143988258,mestrado,1977.0,1980,letras,universidade federal de pernambuco,tambor cósmico uma visão do poético absoluto,,
1004340,3936925289406558,3569273759513414,mestrado,2007.0,2009,geografia,universidade federal fluminense,shopping center também tem memória uma história esquecida dos shoppings nos espaços intraurbanos do rio de janeiro e são paulo nos anos 60 e 70,ciencias humanas,geografia
92532,382135664206404,9315191049584629,mestrado,2017.0,2019,ciências técnicas nucleares,universidade federal de minas gerais,avaliação de cenários de sistemas de energia nuclear utilizando modelos message,engenharias,
865825,2560385858295114,7454721889857580,mestrado,2007.0,2010,ciencia da motricidade humana,universidade castelo branco,efeitos de um programa de hidroginástica sobre os níveis séricos de igf 1 autonomia funcional e qualidade de vida em idosas,ciencias da saude,
1180805,5156164089432435,5848346095489595,mestrado,2015.0,2017,virologia,instituto evandro chagas,filogeografia do rotavírus genótipo g12 na região norte do brasil de 2007 a 2014,,
1244106,5882842888759363,6642892526875406,doutorado,2013.0,2017,programa de pós graduação em ciência tecnologia e sociedade,universidade federal de são carlos,interdisciplinaridade na questão climática a participação das ciências sociais no painel intergovernamental de mudanças climáticas ipcc,ciencias humanas,
1161937,4965343655310954,8986384401504402,mestrado,1996.0,1999,psicologia,universidade são marcos,a história de francine um estudo sobre a identidade de uma mulher,ciencias humanas,psicologia
1033546,6349397714183289,3807924645050151,mestrado,2000.0,2002,agronomia produção vegetal,universidade federal de alagoas,estudos da biologia floral e polinização natural e artificial da pinheira annona squamosa e atemoia annona squamosa x annona cherimola,ciencias agrarias,agronomia
917725,2930978785634948,9669578051098104,mestrado,2014.0,2016,geografia campus catalão,universidade federal de goiás,a territorialização do setor sucroenergético no município de morrinhos goiás transformações territoriais e re existências,ciencias humanas,
920318,7136355565399612,2949120342529367,mestrado,2005.0,2007,ensino de física,pontifícia universidade católica de minas gerais,um roteiro de introdução aos conceitos de mecânica quântica baseado na anállise de experimentos de interferometria,,
1084182,4230575294092071,4277910123820240,mestrado,2014.0,2016,planejamento e gestão do território,universidade federal do abc,o polo gerador de tráfego a política do automóvel em são paulo por meio da análise de um instrumento da ação pública,ciencias sociais aplicadas,
296588,7346001323218934,10095407,mestrado,,2007,geografia geografia humana,universidade de são paulo,o sistema ferroviário paulista um estudo sobre a evolução do transporte de passageiros sobre trilhos,,
1363881,9713300632476670,7934625246004062,doutorado,1991.0,1995,química,universidade federal de são carlos,medidas de secção de choque total de espalhamento de eletrons por alvos gasosos,ciencias exatas e da terra,física
1175596,7533716053525477,5106173879814820,mestrado,2015.0,2017,biotecnologia,universidade federal do pará,perfil de expressão de small rnas preditos em corynebacterium pseudotuberculosis utilizando como modelo as linhagens 1002 e 258,ciencias biologicas,
1183420,8448657508273652,5182710800072951,doutorado,2005.0,2009,química,universidade estadual de maringá,síntese e avaliação da atividade antiprotozoário antitumoral e antimicrobiana de 1 fenilssubstituído beta carbolinas contendo os grupos n alquil carboxamida 1 2 4 triazol e 1 3 4 tiodiazol na posição 3,ciencias exatas e da terra,
611591,1204232509410955,10566881,mestrado,,2019,engenharia mecânica,universidade tecnológica federal do paraná,neuro fuzzy control and particle swarm optimization on horizontal axis wind turbine,,
913648,6402668883583711,2900012069684669,mestrado,2012.0,2014,química,universidade federal de alfenas,síntese caracterização e atividade antimicrobiana de imino complexos de paládio ii,ciencias exatas e da terra,
446592,8422233899118714,10318256,mestrado,,2012,engenharia de alimentos,universidade regional integrada campus de erechim,diagnóstico de doença celíaca em uma unidade hospitalar e elaboração de macarrão sem glúten,,
163911,691656600484878,9362520082281314,mestrado,2007.0,2009,matemática,universidade estadual de campinas,geometria dos caminhos em grupos de lie,,
1280896,7586555539372516,6382631610799256,mestrado,2016.0,2018,gestão de empresas,universidade lusófona de humanidades e tecnologias,a gestão de cursos de formação continuada para professores nos centros de apoio pedagógico especializado do estado do amapá,,
358862,10187074,8392415572926049,mestrado,1984.0,1987,administração,universidade federal da paraíba,implicações da infração nos custos e despesas de depreciação e sua influência na apuração do resultado do exercício um estudo comparativo com e sem correção monetária,ciencias sociais aplicadas,administração
508346,1110267130576680,10412315,mestrado,,2015,mestrado profissional em letras,universidade estadual da paraíba,literatura e protagonismo da beleza afro,,
59119,242671526998320,1521995064049247,mestrado,2013.0,2015,música,universidade federal da paraíba,a boa expressão musical ao cantar e tocar tradução comentada do versuch einer anweisung die flöte traversiere zu spielen de quantz extratos,linguistica letras e artes,
984249,7330737058057089,3414692218600396,mestrado,2011.0,2014,ciências do envelhecimento,universidade são judas tadeu,empreendedorismo e envelhecimento perspectivas de uma nova relação de trabalho na maturidade,ciencias sociais aplicadas,
92276,4821494129200374,380535455989585,doutorado,2000.0,2004,desenvolvimento agricultura e sociedade,universidade federal rural do rio de janeiro,encontro produtivo e ancoragem territorial coordenação e relações firma territorio em arranjos produtivos agroindustriais,ciencias sociais aplicadas,economia
1220078,9030389274220180,5579031528573226,doutorado,1996.0,2001,engenharia mecânica,universidade federal de uberlândia,metodologia via redes neurais para a estimativa da rugosidade e do desgaste de ferramentas de corte no processo de fresamento frontal,engenharias,
77635,4232674785241580,319829282479374,doutorado,2010.0,2015,ciências morfológicas conceito capes,universidade federal do rio de janeiro,avaliação em nano escala do potencial de bioabsorção de nanohidroxiapatitas em defeitos ósseos em ratos english analysis in nano scale of the potential bioasorption of nanohydroxyapatites in bone defects in rats,ciencias da saude,
508347,3095760811566254,10412316,mestrado,,2002,engenharia de produção,universidade federal do rio grande do norte,gestão ambiental no turismo um estudo sobre a conscientização ambiental no setor hoteleiro,engenharias,
