id_lattes,name,major_area,area,descendants,fecundity,fertility,cousins,generations,relationships,genealogical_index
7055585758385719,p b cavalcanti,ciencias sociais aplicadas,serviço social,35,30,1,861,2,35,1
7098966466714230,j a vieira,linguistica letras e artes,lingüística,64,37,5,0,2,65,3
6968054878935534,e r k rabbani,engenharias,engenharia civil,14,14,0,0,1,14,0
5092216089431468,f p bortolozzo,ciencias agrarias,medicina veterinária,47,43,2,52,2,47,1
10317025,l camara,,,9,6,2,0,2,9,1
3936925289406558,n d n fernandes,ciencias humanas,geografia,16,13,1,36,2,16,1
382135664206404,a l costa,engenharias,engenharia nuclear,16,16,0,175,1,16,0
2560385858295114,r g d s vale,ciencias da saude,educação física,18,17,1,359,2,18,1
5156164089432435,j d a p mascarenhas,ciencias biologicas,microbiologia,24,23,1,287,2,24,1
5882842888759363,t h n d andrade,ciencias humanas,sociologia,20,20,0,317,1,20,0
4965343655310954,c p alves,ciencias humanas,psicologia,6,6,0,912,1,6,0
6349397714183289,e e p d lemos,ciencias biologicas,botânica,24,24,0,58,1,24,0
2930978785634948,m r mendonca,ciencias humanas,geografia,23,23,0,1354,1,23,0
7136355565399612,l vertchenko,ciencias exatas e da terra,astronomia,21,21,0,0,1,21,0
4230575294092071,s m zioni,ciencias sociais aplicadas,planejamento urbano e regional,9,9,0,356,1,9,0
7346001323218934,f c scarlato,ciencias humanas,geografia,422,61,18,0,5,423,9
9713300632476670,j c nogueira,ciencias biologicas,morfologia,105,14,7,0,3,105,3
7533716053525477,a r c folador,ciencias biologicas,genética,11,11,0,212,1,11,0
8448657508273652,m h sarragiotto,ciencias exatas e da terra,química,80,35,8,81,2,80,4
1204232509410955,a m tusset,ciencias exatas e da terra,matemática,13,13,0,315,1,13,0
6402668883583711,e t d almeida,ciencias exatas e da terra,química,6,6,0,23,1,6,0
8422233899118714,g t backes,ciencias agrarias,ciência e tecnologia de alimentos,41,30,1,0,2,42,1
691656600484878,p j catuogno,ciencias exatas e da terra,matemática,26,16,2,331,2,26,2
7586555539372516,r a t costa,ciencias sociais aplicadas,administração,13,13,0,235,1,13,0
10187074,f l piccoli,,,59,5,1,0,3,59,1
1110267130576680,s m liebig,linguistica letras e artes,letras,11,11,0,0,1,11,0
242671526998320,h muller,linguistica letras e artes,artes,1,1,0,397,1,1,0
7330737058057089,c a gil,ciencias humanas,psicologia,4,4,0,106,1,4,0
4821494129200374,a c castro,ciencias sociais aplicadas,economia,389,63,11,104,5,390,5
9030389274220180,m a v duarte,engenharias,engenharia mecânica,36,31,1,91,2,36,1
4232674785241580,m f d souza,ciencias biologicas,morfologia,63,28,6,0,3,65,3
3095760811566254,s m junior,engenharias,engenharia de produção,47,45,1,559,2,47,1
4393190612163974,i prokopowitsch,ciencias da saude,odontologia,12,12,0,189,1,12,0
7237734243628134,m a rubin,ciencias biologicas,farmacologia,54,35,4,1170,2,54,2
3516498227896709,m gerenutti,ciencias da saude,farmácia,13,13,0,407,1,13,0
7480155728027813,e d s g d oliveira,ciencias humanas,psicologia,24,24,0,876,1,24,0
271672292477578,m k zuffo,engenharias,engenharia elétrica,116,44,9,201,2,116,5
5519440444956651,j h g scatena,ciencias da saude,saúde coletiva,25,16,1,247,2,25,1
1817003141354246,m ferreira,linguistica letras e artes,letras,6,6,0,495,1,6,0
4408216727557437,r f junior,ciencias biologicas,fisiologia,26,11,2,567,2,26,1
10492253,r s moraes,,,1,1,0,0,1,1,0
8265116967095452,m m b r vellasco,ciencias exatas e da terra,ciência da computação,155,90,7,0,3,156,4
5194857133589062,t d l v a d m soares,ciencias sociais aplicadas,administração,393,91,6,0,5,393,6
10282818,j l d santos,,,1,1,0,0,1,1,0
5811514780628956,t g d santos,ciencias biologicas,zoologia,6,6,0,87,1,6,0
8293352499326456,r m s d macedo,ciencias humanas,psicologia,884,119,22,0,4,900,10
9384015500657861,i l sinhorini,ciencias agrarias,medicina veterinária,189,16,6,42,3,190,5
1171304952099087,j p d e pascon,ciencias agrarias,medicina veterinária,5,5,0,631,1,5,0
5931969496718980,e m carneiro,ciencias biologicas,fisiologia,63,35,8,90,2,63,3
2195178556332713,l h l d santos,ciencias humanas,filosofia,377,27,16,7,4,382,8
719941694482158,j m p maceira,ciencias da saude,medicina,40,17,3,0,3,40,2
6818139016806030,m c p m paoli,ciencias humanas,sociologia,499,39,18,558,4,503,12
10327732,l h m freitas,,,1,1,0,0,1,1,0
4227486096919786,m s g d marin,ciencias sociais aplicadas,economia,148,148,0,0,1,148,0
4838297393852726,c m a scroferneker,ciencias sociais aplicadas,comunicação,64,38,5,318,2,66,2
10318721,l m t d vasconcelos,,,1,1,0,0,1,1,0
4923576932176873,n c a d c junior,ciencias sociais aplicadas,administração,275,62,9,119,3,276,7
10053010,a c m r j c ellory,,,17,1,1,0,3,18,1
3949476670405833,l szymanski,ciencias humanas,psicologia,15,15,0,2966,1,15,0
6076023932215927,m j d o santos,ciencias sociais aplicadas,arquitetura e urbanismo,2,2,0,73,1,2,0
4800838962828598,l e d o costa,linguistica letras e artes,artes,6,6,0,737,1,6,0
8326269321397331,l e moraes,ciencias biologicas,ecologia,4,4,0,253,1,4,0
646085361798175,i costa,engenharias,engenharia de produção,26,26,0,534,1,26,0
905215714401654,r gorayeb,ciencias humanas,psicologia,337,33,5,90,5,339,3
6188864471881525,m a lombardo,ciencias humanas,geografia,606,63,18,201,5,607,12
2905858399806945,g b g mosegui,ciencias da saude,saúde coletiva,14,14,0,195,1,14,0
836964905424972,j t silva,ciencias biologicas,bioquímica,45,13,1,0,3,45,1
690940791566132,w v redmond,linguistica letras e artes,letras,92,65,2,219,3,92,2
1325247019367288,d d neto,ciencias agrarias,agronomia,207,93,10,576,3,208,5
4432823095691983,d q falcao,ciencias da saude,farmácia,9,9,0,184,1,9,0
2360365860775097,u r d silva,linguistica letras e artes,artes,19,19,0,982,1,19,0
2213621728469564,w m miranda,linguistica letras e artes,letras,510,49,24,267,4,510,11
9142178397070079,r n f c neta,ciencias biologicas,zoologia,8,8,0,651,1,8,0
10341816,l f s candiota,,,323,1,1,0,5,323,1
7099358581242986,c a f d silva,ciencias humanas,geografia,41,26,3,535,2,41,2
3953051373934281,a takatsu,ciencias agrarias,agronomia,96,23,6,0,3,96,4
4275343111687273,p k grossi,ciencias sociais aplicadas,serviço social,69,47,4,0,2,69,3
4951931552005515,m l andersen,ciencias biologicas,farmacologia,23,22,1,223,2,23,1
6286988721312780,t a netto,engenharias,engenharia naval e oceânica,46,44,2,61,2,46,1
10182918,f m d s ramos,,,19,4,1,0,2,19,1
8391182235603982,j i baldani,ciencias biologicas,genética,123,43,11,0,3,123,4
5701058418861895,f l yarshell,,,27,17,1,0,2,27,1
10554718,v a s d medereiros,,,1,1,0,0,1,1,0
